sample_ID,Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales,Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales,Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales,Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales,Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales,Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales,Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales,Bacteria;Actinobacteriota;Actinobacteria;Frankiales,Bacteria;Actinobacteriota;Actinobacteria;Micrococcales,Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales,Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales,Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales,Bacteria;Actinobacteriota;Actinobacteria;uncultured,Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales,Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales,Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales,Bacteria;Bacteroidota;Bacteroidia;Bacteroidales,Bacteria;Bacteroidota;Bacteroidia;Chitinophagales,Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales,Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales,Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales,Bacteria;Bdellovibrionota;Oligoflexia;0319-6G20,Bacteria;Campilobacterota;Campylobacteria;Campylobacterales,Bacteria;Chloroflexi;Anaerolineae;Caldilineales,Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales,Bacteria;Dependentiae;Babeliae;Babeliales,Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae,Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales,Bacteria;Elusimicrobiota;Lineage IIa;Elusimicrobia bacterium RIFCSPLOWO2_01_FULL_59_12,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales,Bacteria;Firmicutes;Bacilli;Bacillales,Bacteria;Firmicutes;Bacilli;Erysipelotrichales,Bacteria;Firmicutes;Bacilli;Izemoplasmatales,Bacteria;Firmicutes;Bacilli;Lactobacillales,Bacteria;Firmicutes;Bacilli;RF39,Bacteria;Firmicutes;Bacilli;Staphylococcales,Bacteria;Firmicutes;Bacilli;Thermicanales,Bacteria;Firmicutes;Clostridia;Caldicoprobacterales,Bacteria;Firmicutes;Clostridia;Christensenellales,Bacteria;Firmicutes;Clostridia;Clostridia UCG-014,Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group,Bacteria;Firmicutes;Clostridia;Clostridiales,Bacteria;Firmicutes;Clostridia;Eubacteriales,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Lachnospirales,Bacteria;Firmicutes;Clostridia;Monoglobales,Bacteria;Firmicutes;Clostridia;Oscillospirales,Bacteria;Firmicutes;Clostridia;Peptococcales,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales,Bacteria;Firmicutes;Clostridia;uncultured,Bacteria;Firmicutes;Incertae Sedis;DTU014,Bacteria;Firmicutes;Limnochordia;Hydrogenispora,Bacteria;Firmicutes;Limnochordia;M55-D21,Bacteria;Firmicutes;Moorellia;Desulfitibacterales,Bacteria;Firmicutes;Negativicutes;Acidaminococcales,Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales,Bacteria;Firmicutes;uncultured;uncultured Peptococcaceae bacterium,Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales,Bacteria;Myxococcota;Polyangia;Polyangiales,Bacteria;Myxococcota;Polyangia;mle1-27,Bacteria;Myxococcota;bacteriap25;uncultured bacterium,Bacteria;Nitrospirota;Nitrospiria;Nitrospirales,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Paracaedibacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales,Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales,Bacteria;Proteobacteria;Alphaproteobacteria;uncultured,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales,Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales,Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales,Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis,Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales,Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales,Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales,Bacteria;Spirochaetota;Brachyspirae;Brachyspirales,Bacteria;Spirochaetota;Spirochaetia;Spirochaetales,Bacteria;Synergistota;Synergistia;Synergistales,Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales,Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales,label
H18115,0,0,0,0,2,8,0,0,0,0,0,0,0,487,0,0,3207,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,593,0,1,0,0,0,0,0,0,0,1,0,0,2430,162,3070,0,9,0,0,0,0,0,0,5251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
H18116,0,0,0,0,0,2,0,0,0,0,0,0,0,485,0,0,7098,0,1,0,0,0,0,0,0,0,113,0,0,0,0,0,448,0,26,63,1,0,0,295,6,516,14,0,0,1821,36,2626,9,64,3,9,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128,0,0,0,2252,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1
H18117,0,0,0,0,5,1,0,0,1,0,0,0,0,186,0,0,5139,0,2,0,0,1,1,0,0,0,6,0,0,0,0,2,160,0,40,77,1,0,0,7,964,0,2,0,0,1807,38,1312,0,75,0,0,0,0,0,40,146,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,59,0,0,0,3165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
H18118,0,0,0,0,10,0,1,0,2,0,1,0,0,998,0,0,3838,0,0,0,0,1,0,0,14,0,9,0,0,0,0,0,1013,0,758,0,1,0,0,2120,1862,12,23,18,0,3047,156,1285,22,133,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0,0,0,409,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
H18121,0,0,0,0,0,1,2,0,0,0,0,0,0,170,0,0,4320,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,62,0,37,0,0,0,0,16,0,5,0,0,0,784,15,2502,0,3,0,0,1,0,0,4,1175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,385,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
H18122,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1657,0,2,0,0,0,0,0,48,0,0,0,0,0,0,1,467,0,37,0,1,0,0,0,9,0,0,0,0,2740,56,3104,0,2,0,0,0,0,0,0,1486,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,0,131,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
H18124,0,0,0,0,3,0,0,0,3,0,0,0,0,192,0,0,7960,0,0,0,0,0,0,0,14,0,156,0,0,0,0,0,426,2,240,73,0,0,0,119,599,6,31,0,0,1666,117,2734,5,14,0,0,0,0,0,15,399,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,79,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
H18125,0,0,0,0,15,5,0,0,1,0,8,0,0,264,0,0,6464,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,167,0,3,0,0,35,0,1,0,2,0,1442,0,1477,2,95,0,0,0,0,0,0,821,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,809,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
H18126,0,0,0,0,13,13,1,0,0,0,0,0,0,322,0,0,3505,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,68,0,232,0,6,0,0,199,2,40,30,5,0,2050,36,2205,28,34,0,1,0,0,0,78,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,24,0,0,0,237,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0
H18127,0,0,0,0,1,1,0,0,0,0,0,0,0,334,0,0,3049,0,0,0,0,0,0,0,56,0,2,0,0,0,0,0,158,2,226,165,5,0,0,397,1176,22,1,1,2,880,15,2041,6,23,0,2,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18128,0,0,0,0,2,0,2,0,0,0,0,0,0,707,0,0,4244,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,488,0,68,100,1,0,0,109,31,5,0,2,0,2272,23,1379,0,53,0,0,0,0,0,0,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16,0,0,0,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
H18129,0,0,0,0,4,0,0,0,2,0,0,0,0,301,0,0,2021,0,0,0,0,0,0,0,0,0,106,0,0,0,0,2,545,0,35,1,6,0,0,16,3,0,6,0,0,2359,99,1714,0,43,0,0,0,0,0,664,1307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,833,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1
H18130,0,0,0,0,2,0,5,0,0,0,14,0,0,287,0,0,9402,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,710,0,52,0,7,0,0,78,0,0,7,0,0,2621,12,1611,7,25,0,0,0,0,0,213,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1632,0,0,0,1559,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
H18131,0,0,0,0,9,6,5,0,12,0,54,0,0,63,0,0,2929,0,4,0,0,0,0,0,0,0,37,0,0,0,0,0,515,0,1307,0,5,0,0,103,0,0,17,0,0,3405,43,1994,0,26,0,0,0,0,0,296,7410,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,14,0,0,0,1118,0,0,0,0,71,1,0,2,0,0,0,0,0,0,1
H18132,0,0,0,0,4,1,1,0,5,0,0,0,0,227,0,0,5065,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,613,0,138,1257,3,0,0,509,1183,7,1065,0,0,1459,78,2071,2,108,0,0,4,0,0,0,2591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,197,0,0,0,0,36,2,0,0,0,0,0,0,0,0,1
H18133,0,0,0,1,3,2,1,0,0,0,1,0,0,96,0,0,7691,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,624,0,40,0,0,0,0,23,2,2,0,2,0,1475,143,2064,0,48,0,0,0,0,0,433,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,2082,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
H18134,0,0,0,0,4,3,0,0,1,0,0,0,0,454,0,0,5802,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1214,0,337,0,1,0,0,0,0,0,1,86,0,4648,178,3705,0,5,0,0,0,0,0,424,634,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,0,940,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0
H18135,0,0,0,0,4,2,0,0,0,0,0,0,0,149,0,0,6374,0,0,0,0,0,1,0,0,0,73,0,0,0,0,0,118,0,61,0,0,0,0,391,0,0,14,0,0,1010,46,2046,5,6,0,0,0,0,0,5,852,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,460,0,0,0,180,0,0,0,0,24,1,0,0,0,0,0,0,0,0,2
H18136,0,0,0,0,3,2,0,0,0,0,0,0,0,44,0,0,7482,0,0,0,0,0,2,0,0,0,60,0,0,0,0,1,351,0,69,0,1,0,0,69,0,2,23,9,0,1326,97,1543,0,214,0,0,1,0,0,4,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,1801,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1
H18137,0,0,0,0,1,0,0,0,0,0,0,0,0,87,0,0,7259,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,30,2,179,123,4,0,0,47,391,5,3,0,0,1667,40,3536,0,57,0,1,2,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,585,0,0,0,0,67,0,0,0,0,0,0,0,0,0,1
H18138,0,0,0,0,17,1,0,0,5,0,0,0,0,368,0,0,5096,0,0,0,0,0,0,0,1,0,113,0,0,0,0,0,519,0,52,2,1,0,0,388,67,0,77,0,0,1911,136,4261,0,28,0,0,0,0,0,0,1169,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,158,0,0,0,1939,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1
H18140,0,0,0,0,30,0,0,0,11,0,0,0,0,392,0,0,7236,0,9,0,0,0,2,0,19,0,242,0,0,0,0,0,167,1,888,5,7,0,0,553,229,1,21,0,0,1233,8,3045,14,47,1,0,0,0,0,344,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,632,0,0,0,0,11,14,0,3,0,0,0,0,0,0,0
H18143,0,0,0,0,1,0,0,0,1,0,0,0,0,226,0,0,7186,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,164,0,104,0,1,0,0,241,0,1,152,0,0,1553,100,1724,0,6,0,0,0,0,0,247,631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0
H18144,0,0,0,0,5,0,1,0,1,0,0,0,0,223,0,0,5392,1,2,0,0,0,0,0,0,0,2051,0,0,0,0,1,216,0,362,0,3,0,0,34,0,0,1,3,0,2874,0,314,0,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,3179,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0
H18145,0,0,0,0,3,3,0,0,3,0,0,0,0,524,0,0,2842,0,1,0,0,0,0,0,0,0,116,0,0,0,0,0,1237,0,286,0,2,0,0,73,30,56,22,0,0,1714,8,1873,36,11,0,0,0,0,0,294,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,108,0,0,0,0,129,19,0,0,0,0,0,0,0,0,1
H18147,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,4858,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,5,0,27,0,0,0,0,612,0,0,0,0,0,659,43,2839,1,43,0,0,0,0,0,589,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,217,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
H18148,0,0,0,0,3,0,0,0,0,0,0,0,0,78,0,0,8635,0,0,0,0,0,0,0,0,0,779,0,0,0,0,0,34,35,10,894,0,0,0,180,344,2,67,0,0,1207,50,1927,7,6,0,0,0,0,0,0,2294,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,101,0,0,0,10,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
H18149,0,0,0,0,2,1,1,0,0,0,0,0,0,86,0,0,5229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,606,0,204,0,5,0,0,8,7,0,0,0,0,2259,0,1663,0,0,0,0,0,0,0,22,2075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,686,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H18150,0,0,0,0,12,29,0,0,0,0,0,0,0,295,0,0,7900,0,0,0,0,0,0,0,0,0,805,0,0,0,0,0,605,0,100,0,1,0,0,141,0,0,0,0,0,2245,73,2656,2,52,0,0,0,0,0,11,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,1
